annee_pegi_duree,casting_principal,description,genre,langue,nombre_vote,pays,score,titre
"1999,R,3h 9m","Tom Hanks,Michael Clarke Duncan,David Morse,Bonnie Hunt,James Cromwell,Michael Jeter,Graham Greene,Doug Hutchison,Sam Rockwell,Barry Pepper,Jeffrey DeMunn,Patricia Clarkson,Harry Dean Stanton,Dabbs Greer,Eve Brent,William Sadler,Mack Miles,Rai Tasco","A tale set on death row, where gentle giant John Coffey possesses the mysterious power to heal people's ailments. When the lead guard, Paul Edgecombe, recognizes John's gift, he tries to help stave off the condemned man's execution.","Crime,Drama,Fantasy","English,French",1.4M,United States,8.6,The Green Mile
"2014,PG-13,2h 1m","Chris Pratt,Vin Diesel,Bradley Cooper,Zoe Saldana,Dave Bautista,Lee Pace,Michael Rooker,Karen Gillan,Djimon Hounsou,John C. Reilly,Glenn Close,Benicio Del Toro,Laura Haddock,Sean Gunn,Peter Serafinowicz,Christopher Fairbank,Krystian Godlewski,Wyatt Oleff",A group of intergalactic criminals must pull together to stop a fanatical warrior with plans to purge the universe.,"Action,Adventure,Comedy",English,1.3M,United States,8.0,Guardians of the Galaxy
"2017,PG-13,1h 54m","Kenneth Branagh,Penélope Cruz,Willem Dafoe,Judi Dench,Paapa Essiedu,Yassine Zeroual,Asan N'Jie,Michael Rouse,Elliot Levey,David Annen,Joseph Long,Andy Apollo,Hadley Fraser,Daisy Ridley,Leslie Odom Jr.,Ziad Abaza,Nari Blair-Mangat,Luke Brady","When a murder occurs on the train on which he's travelling, celebrated detective Hercule Poirot is recruited to solve the case.","Crime,Drama,Mystery","English,French,Arabic,German",294K,United States,6.5,Murder on the Orient Express
"TV Special,2022,2h 1m","Rebel Wilson,Shirley Bassey,The Dame Shirley Bassey Orchestra,Emilia Jones,Simone Ashley,Zawe Ashton,Jonathan Bailey,Caitríona Balfe,Kenneth Branagh,Jessie Buckley,Naomi Campbell,Benedict Cumberbatch,Luca De Massis,Ariana DeBose,Mike Faist,Lady Gaga,Reinaldo Marcus Green,Jonny Greenwood",The international film community gather at the Royal Albert Hall for the EE British Academy Film Awards hosted by Rebel Wilson.,genre inconnu,English,55,United Kingdom,5.5,BAFTA 2022
"TV Series,2022– ,9m","Rhea Seehorn,Louis Mustillo,Casey Washington,David Conolly,Kila Kitu,Daniella Garcia,Jared Goldstein,Phil LaMarr,Leandro Dottavio,LeChristopher Williams,Whitney Cummings,Drew Powell,Anna Akana,Liberty Hobbs,Brittany Mcvicker,Patrick Fabian,Krista Marie Yu,Todd Robert Anderson","When Kris Latimer, the biggest jerk in Hollywood, stumbles upon Cooper Marino's backyard Tiki bar oasis, Cooper and his down-on-their-luck pals pull themselves together for one last shot at their ""big break.""",Comedy,English,217,United States,6.1,Cooper's Bar
"TV Series,2016–2019,TV-14,44m","Damon Wayans,Keesha Sharp,Kevin Rahm,Michelle Mitchenor,Johnathan Fernandez,Clayne Crawford,Jordana Brewster,Chandler Kinney,Dante Brown,Seann William Scott,Andrew Creer,Rex Linn,Kristen Gutoskie,Maggie Lawson,Shay Rudolph,Floriana Lima,Richard Cabral,Chase Mangum",A slightly unhinged cop is partnered with a veteran detective trying to maintain a low stress level in his life.,"Action,Adventure,Comedy","English,Spanish,Arabic,Chinese,Korean,Chechen,Slovak",40K,United States,7.8,Lethal Weapon
"2003,R,1h 51m","Uma Thurman,David Carradine,Daryl Hannah,Michael Madsen,Lucy Liu,Vivica A. Fox,Julie Dreyfus,Chiaki Kuriyama,Shin'ichi Chiba,Chia-Hui Liu,Michael Parks,Michael Bowen,Jun Kunimura,Kenji Ôba,Yuki Kazamatsuri,James Parks,Sakichi Sato,Jonathan Loughran","After awakening from a four-year coma, a former assassin wreaks vengeance on the team of assassins who betrayed her.","Action,Crime,Thriller","English,Japanese,French",1.2M,United States,8.2,Kill Bill: Vol. 1
"2004,R,1h 48m","Jim Carrey,Kate Winslet,Tom Wilkinson,Gerry Robert Byrne,Elijah Wood,Thomas Jay Ryan,Mark Ruffalo,Jane Adams,David Cross,Kirsten Dunst,Ryan Whitney,Debbon Ayer,Amir Ali Said,Brian Price,Paulie Litt,Josh Flitter,Lola Daehler,Deirdre O'Connell","When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories for ever.","Drama,Romance,Sci-Fi",English,1.1M,United States,8.3,Eternal Sunshine of the Spotless Mind
"1926,Not Rated,1h 47m","Gösta Ekman,Emil Jannings,Camilla Horn,Frida Richard,William Dieterle,Yvette Guilbert,Eric Barclay,Hanna Ralph,Werner Fuetterer,Hans Brausewetter,Lothar Müthel,Hans Rameau,Hertha von Walther,Emmy Wyda",The demon Mephisto wagers with God that he can corrupt a mortal man's soul.,"Drama,Fantasy,Horror","German,English",17K,Germany,8.1,Faust
"1984,PG,1h 47m","Kevin Bacon,Lori Singer,John Lithgow,Dianne Wiest,Chris Penn,Sarah Jessica Parker,John Laughlin,Elizabeth Gorcey,Frances Lee McCain,Jim Youngs,Douglas Dirkson,Lynne Marta,Arthur Rosenberg,Timothy Scott,Alan Haufrect,Linda MacEwen,Kim Jensen,Michael Telmont","A city teenager moves to a small town where rock music and dancing have been banned, and his rebellious spirit shakes up the populace.","Drama,Music,Romance",English,91K,United States,6.6,Footloose
"2023,PG-13,2h 11m","Jim Caviezel,Mira Sorvino,Bill Camp,Cristal Aparicio,Javier Godino,Lucás Ávila,Yessica Borroto Perryman,Manny Perez,Eduardo Verástegui,Samuel Livingston,Gustavo Sánchez Parra,Kris Avedisian,José Zúñiga,Carlos Gutiérrez,Hector Lucumi,Mauricio Cujar,Gary Basaraba,Gerardo Taracena",The incredible true story of a former government agent turned vigilante who embarks on a dangerous mission to rescue hundreds of children from traffickers.,"Biography,Crime,Drama","English,Spanish",111K,"Mexico,United States",7.7,Sound of Freedom
"1998,R,1h 45m","Ian McKellen,Brendan Fraser,Lynn Redgrave,Lolita Davidovich,David Dukes,Kevin J. O'Connor,Mark Kiely,Jack Plotnick,Rosalind Ayres,Jack Betts,Matt McKenzie,Todd Babcock,Cornelia Hayes O'Herlihy,Brandon Kleyla,Pamela Salem,Michael O'Hagan,David Millbern,Amir AboulEla",The last days of Frankenstein (1931) director James Whale are explored.,"Biography,Drama","English,Hungarian",33K,"United States,United Kingdom",7.3,Gods and Monsters
"TV Series,2024– ","Anya Chalotra,Russ Bain,Viola Davis,Sean Gunn,Raoul Bhaneja,Alan Tudyk,Frank Grillo,David Harbour,Indira Varma,Maria Bakalova,Zoë Chao,Steve Agee","Follows a group of military super humans composed by a human leader, a werewolf, a vampire, Frankenstein's monster and a gorgon.","Animation,Action,Adventure",English,vote inconnu,United States,score inconnu,Creature Commandos
"1990,PG-13,1h 37m","Matt Salinger,Ronny Cox,Ned Beatty,Darren McGavin,Michael Nouri,Scott Paulin,Kim Gillingham,Melinda Dillon,Bill Mumy,Francesca Neri,Carla Cassola,Massimilio Massimi,Wayde Preston,Norbert Weisser,Garette Ratliff Henson,Bernarda Oman,Tonko Lonza,Galiano Pahor","Frozen in the ice for decades, Captain America is freed to battle against archcriminal The Red Skull.","Action,Adventure,Sci-Fi",English,15K,"United States,Yugoslavia,Croatia",3.2,Captain America
"2023,1h 37m","Adam Deacon,Jennifer Saunders,Jazzie Zonzolo,Richie Campbell,Leomie Anderson,Peter Serafinowicz,Danny Sapani,Vas Blackwood,Barry McNicholl,Eddie Kadi,Kobna Holdbrook-Smith,London Hughes,Asheq Akhtar,Ed Sheeran,Danny O'Neill,Jaime Winstone,Ruxandra Porojnicu,Babatunde Aleshe",This British crime comedy sees two hapless friends run into trouble after an attempted bank robbery goes wrong.,"Comedy,Crime,Drama",English,858,United Kingdom,4.6,Sumotherhood
"1990,R,2h 42m","Al Pacino,Diane Keaton,Andy Garcia,Talia Shire,Eli Wallach,Joe Mantegna,George Hamilton,Bridget Fonda,Sofia Coppola,Raf Vallone,Franc D'Ambrosio,Donal Donnelly,Richard Bright,Helmut Berger,Don Novello,John Savage,Franco Citti,Mario Donatone","Follows Michael Corleone, now in his 60s, as he seeks to free his family from crime and find a suitable successor to his empire.","Crime,Drama","Persian,English,Italian,German,Latin",422K,United States,7.6,The Godfather Part III
"2018,Not Rated,2h 3m","Ryu Jun-Yeol,Cha Seung-won,Cho Jin-woong,Kim Sung-ryung,Seo Hyun-woo,Jung Ga-ram,Park Hae-joon,Kim Ju-hyuk,Kim Dong-young,Keum Sae-rok,Kang Seung-hyun,Jin Seo-yeon,Lee Ju-young,Lee Ji-min,Park Jin-soo,Nam Moon-cheol,Yoon Jong-In,Joon-Won Jung",A police detective determined to catch the unseen boss of Asia's biggest drug cartel joins hands with a revenge-thirsty member of the gang.,"Action,Crime,Thriller",Korean,4.5K,South Korea,6.6,Believer
"TV Series,2014– ,TV-MA,1h","Caitríona Balfe,Sam Heughan,Sophie Skelton,Richard Rankin,Duncan Lacroix,John Bell,César Domboy,Lauren Lyle,Caitlin O'Ryan,Tobias Menzies,Graham McTavish,Grant O'Rourke,Paul Gorman,Nell Hudson,Stephen Walters,Paul Donnelly,Maria Doyle Kennedy,Hugh Ross","Claire Beauchamp Randall, a nurse in World War II, mysteriously goes back in time to Scotland in 1743. There, she meets a dashing Highland warrior and gets drawn into an epic rebellion.","Drama,Fantasy,Romance","English,Gaelic",178K,United States,8.4,Outlander
"TV Series,2020–2023,TV-MA","Jason Sudeikis,Hannah Waddingham,Jeremy Swift,Phil Dunster,Brett Goldstein,Brendan Hunt,Nick Mohammed,Toheeb Jimoh,Juno Temple,Kola Bokinni,Billy Harris,Stephen Manas,Cristo Fernández,Moe Jeudy-Lamour,Annette Badland,Moe Hashim,David Elsendoorn,Adam Colborne","American college football coach Ted Lasso heads to London to manage AFC Richmond, a struggling English Premier League soccer team.","Comedy,Drama,Sport",English,342K,"United States,United Kingdom",8.8,Ted Lasso
"2023,PG,1h 40m","Corbin Bleu,Ethan Drew,Amanda Leighton,Christopher Lloyd,Tyler Kowalski,Zion Wyatt,Jenna Raine Simmons,Josh Inocalla,Joshua Childs,Luca Alexander,Raphael Ruggero,Tucker Brown,Isabelle Almoyan,Justin Sterner,Addy Maxwell,Maya Maxwell,Genesis Juarez,Elle Wesley","After a troubled teen steals an important item from two big-city goons, he hides in a church summer camp and must protect his newfound friends at all cost when the goons track him down.","Comedy,Family",English,920,United States,4.7,Camp Hideout
"TV Mini Series,2023,TV-MA","Mel Gibson,Colin Woodell,Mishel Prada,Hubert Point-Du Jour,Nhung Kate,Jessica Allain,Ayomide Adegun,Jeremy Bobb,Adam Shapiro,Katie McGrath,Marina Mazepa,Mark Musashi,Kirk Ward,Dan Li,Chris Ryman,Roy Hu,Fflyn Edwards,Ben Robinson","Set in 1970s New York City, The Continental explores the origin of the iconic hotel-for-assassins centerpiece of the John Wick universe seen through the eyes and action of a young Winston Scott.","Action,Crime,Thriller",English,36K,United States,7.2,The Continental: From the World of John Wick
"1981,R,1h 48m","Stacy Keach,Pia Zadora,Orson Welles,Lois Nettleton,Edward Albert,James Franciscus,Stuart Whitman,June Lockhart,Ed McMahon,Paul Hampton,George 'Buck' Flower,Ann Dane,Greg Gault,John O'Conner White,Peter Jason,Kim Ptak,Leigh Christian,Abraham Rudnick","In 1937 Nevada, silver mine caretaker Jess Tyler is reunited with his teenage daughter Kady who will do anything to persuade Jess to let her have claim to the mine.","Crime,Drama",English,1.5K,United States,4.7,Butterfly
"TV Mini Series,2014,TV-14,2h 54m","Adrien Brody,Kristen Connolly,Evan Jones,Tim Pigott-Smith,Tom Benedict Knight,Shaun Williamson,Eszter Ónodi,Louis Mertens,Jeremy Wheeler,Caroline Boulton,Megan Dodds,David Calder,Linda Marlowe,Madeleine Potter,Michael Terry,Stevan Rimkus,Anthony Cozens,Chrissie Cotterill","Follow the man behind the magic as he finds fame, engages in espionage, battles spiritualists and encounters the greatest names of the era, from U.S. presidents to Sir Arthur Conan Doyle and Grigori Rasputin.","Biography,Drama",English,12K,"United States,Canada",7.3,Houdini
"2020,R,2h 14m","Jesse Plemons,Jessie Buckley,Toni Collette,David Thewlis,Guy Boyd,Hadley Robinson,Gus Birney,Abby Quinn,Colby Minifie,Anthony Robert Grasso,Teddy Coluca,Jason Ralph,Oliver Platt,Frederick Wodin,Ryan Steele,Unity Phelan,Norman Aaronson,Ashlyn Alessi","Full of misgivings, a young woman travels with her new boyfriend to his parents' secluded farm. Upon arriving, she comes to question everything she thought she knew about him, and herself.","Drama,Thriller","English,Spanish",99K,United States,6.6,I'm Thinking of Ending Things
"1995,Not Rated,1h 22m","Lili Taylor,Christopher Walken,Annabella Sciorra,Edie Falco,Paul Calderon,Fredro Starr,Kathryn Erbe,Michael Imperioli,Jamal Simmons,Robert W. Castle,Michael A. Fella,Louis Katz,Leroy Johnson,Fred Williams,Avron Coleman,Lisa Casillo,Frank Aquilino,Nicholas De Cegli","A New York philosophy grad student turns into a vampire after getting bitten by one, and then tries to come to terms with her new lifestyle and frequent craving for human blood.","Drama,Horror",English,11K,United States,6.4,The Addiction
"1995,G,1h 21m","Mel Gibson,Linda Hunt,Christian Bale,Joe Baker,Irene Bedard,Billy Connolly,James Apaumut Fall,John Kassir,Judy Kuhn,Danny Mann,Russell Means,David Ogden Stiers,Michelle St. John,Gordon Tootoosis,Frank Welker,Brian Cummings,Jim Cummings,Linda Gary",An English soldier and the daughter of an Algonquin chief share a romance when English colonists invade seventeenth century Virginia.,"Animation,Adventure,Drama","English,Russian,Algonquin",202K,"United States,Japan",6.7,Pocahontas
"2023,R,1h 31m","Rachel Sennott,Ayo Edebiri,Ruby Cruz,Havana Rose Liu,Kaia Gerber,Nicholas Galitzine,Miles Fowler,Marshawn Lynch,Dagmara Dominczyk,Punkie Johnson,Zamani Wilder,Summer Joy Campbell,Virginia Tucker,Wayne Pére,Toby Nichols,Cameron Stout,Ted Ferguson,Bruno Rose",Two unpopular queer high-school students start a fight club to have sex before graduation.,Comedy,English,38K,United States,6.8,Bottoms
"TV Series,2007–2008,TV-PG,1h","Mary Mouser,D.W. Moffett,Stephanie Niznik,Andrew St. John,David Butler,Tiffany Mulheron,Leah Pipes,Calvin Goldspink,Kesun Loder,Shannon Esra,Atandwa Kani,Precious Kofi,George Jackos,Alex Cranmer,Tony Kgoroge,Zandile Ncgobo,Shoki Mokgapa,Warona Seane",A new York veterinarian moves with his family -- his second wife and their two sets of kids -- to his father-in-law's game reserve in South Africa.,"Drama,Family",English,533,"United States,South Africa",6.6,Life Is Wild
2025,casting inconnu,description inconnu,"Action,Adventure,Sci-Fi",English,vote inconnu,United States,score inconnu,Jurassic World 4
"TV Series,1987–1988,30m","John J. York,Lance LeGault,Chuck Connors,Brian Thompson,Ethan Phillips,Lee de Broux,Henry Beckman,James Morrison,Theresa Saldana,Linden Chiles,David Cowgill,Joe D'Angerio,Valerie Red-Horse,Brian Soules,Gwen Humble,Michael Currie,Kevin Gage,Kim Johnston Ulrich","Grad student Eric Cord becomes infected with lycanthropy after his friend turns into a werewolf and attacks him. Now, Eric and his girlfriend are after the monster that infected his friend, and a tough cowboy bounty hunter pursues Eric.","Horror,Thriller",English,1.1K,United States,7.8,Werewolf
"1984,R,1h 45m","Eddie Murphy,Judge Reinhold,John Ashton,Lisa Eilbacher,Ronny Cox,Steven Berkoff,James Russo,Jonathan Banks,Stephen Elliott,Gilbert R. Hill,Art Kimbro,Joel Bailey,Bronson Pinchot,Paul Reiser,Michael Champion,Frank Pesce,Gene Borkan,Michael Gregory",A freewheeling Detroit cop pursuing a murder investigation finds himself dealing with the very different culture of Beverly Hills.,"Action,Comedy,Crime",English,201K,United States,7.4,Beverly Hills Cop
"2010,Not Rated,2h 24m","Lee Byung-hun,Choi Min-sik,Jeon Gook-hwan,Chun Ho-jin,San-ha Oh,Yoon-seo Kim,Choi Moo-seong,In-seo Kim,Kim Kap-su,Lee Jun-hyuk,Jo Deok-jae,Cheol-woo Han,Myeong-Yeon Jo,Eom Tae-goo,Se-joo Han,Choi Jin-ho,Kim Kang-il,Yoon Byung-hee",A secret agent exacts revenge on a serial killer through a series of captures and releases.,"Action,Crime,Thriller",Korean,145K,South Korea,7.8,I Saw the Devil
"TV Mini Series,2024,TV-MA","Sola Sobowale,Bimbo Ademoye,Kunle Remi,Taiwo Hassan,Gabriel Afolayan,Owobo Ogunde,Lateef Adedimeji,Titi Kuti","In a race against time to avoid a dismal fate, traveler Saro returns to Ojumo with orders to complete a nearly impossible task.","Drama,Fantasy",Yoruba,68,Nigeria,6.3,Anikulapo: Rise of the Spectre
"TV Series,2020,TV-14","Ewan McGregor,Charley Boorman,Russ Malkin,David Alexanian,Claudio von Planta,Jimmy Simak,Anthony Von Seck,Taylor Estevez,Mary Elizabeth Winstead,Jamyan McGregor,Max Biaggi","Ewan McGregor and his friend Charley Boorman travel on electric Harley-Davidsons 13,000 miles through Central and South America.","Documentary,Adventure,Reality-TV",English,5.1K,United Kingdom,8.2,Long Way Up
"TV Movie,2006,TV-G,1h 38m","Zac Efron,Vanessa Hudgens,Ashley Tisdale,Lucas Grabeel,Corbin Bleu,Monique Coleman,Bart Johnson,Alyson Reed,Chris Warren,Olesya Rulin,Ryne Sanborn,Socorro Herrera,Joey Miyashima,Dutch Whitlock,Ryan Templeman,Irene Santiago,Leslie Wing,Joyce Cohen",A popular high school athlete and an academically gifted girl get roles in the school musical and develop a friendship that threatens East High's social order.,"Comedy,Drama,Family","English,Spanish",96K,United States,5.6,High School Musical
"2015,R,2h 1m","Emily Blunt,Josh Brolin,Benicio Del Toro,Jon Bernthal,Victor Garber,Daniel Kaluuya,Jeffrey Donovan,Raoul Max Trujillo,Julio Cesar Cedillo,Hank Rogerson,Bernardo Saracino,Maximiliano Hernández,Kevin Wiggins,Edgar Arreola,Kim Larrichio,Jesus Nevarez-Castillo,Dylan Kenin,John Trejo",An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.,"Action,Crime,Drama","English,Spanish,Ukrainian",472K,"United States,Mexico,Hong Kong",7.7,Sicario
"1997,Not Rated,1h 36m","Leslie Cheung,Tony Leung Chiu-wai,Chang Chen,Gregory Dayton,Shirley Kwan",A couple take a trip to Argentina but both men find their lives drifting apart in opposite directions.,"Drama,Romance","Cantonese,Spanish,English,Mandarin",34K,"Hong Kong,South Korea,Japan",7.7,Happy Together
"TV Series,2019– ","Charlotte Nicdao,Gemma Bird Matheson,Michael Philippou,Danny Philippou,Stephen Molan,Sharon Orval,Savannah La Rain,Meg Washington,Emma Skelton,Jason Virgil,Natalie Tran,Jaxon Fairbairn,Lachlan Fairbairn,Chad Tepper,Wengie,Kristen Hanby,Jackson O'Doherty,Jonathon Sauer",Welcome to Lucy's phone. Lucy is a recent uni grad who lives in Brisbane with her BFF Daisy. Lucy is not content with her boring AF existence. But when a car crash makes her a worldwide meme her life changes course forever.,Comedy,English,62,Australia,7.7,Content
"2012,PG,1h 46m","Lily Collins,Julia Roberts,Armie Hammer,Nathan Lane,Jordan Prentice,Mark Povinelli,Joe Gnoffo,Danny Woodburn,Sebastian Saraceno,Martin Klebba,Ronald Lee Clark,Robert Emms,Mare Winningham,Michael Lerner,Sean Bean,Bonnie Bentley,Arthur Holden,Kwasi Songui",An evil queen steals control of a kingdom and an exiled princess enlists the help of seven resourceful rebels to win back her birthright.,"Adventure,Comedy,Drama",English,91K,"United States,Canada",5.6,Mirror Mirror
"2014,Not Rated,2h 3m","Stephen Tyrone Williams,Zaraah Abrahams,Rami Malek,Elvis Nolasco,Thomas Jefferson Byrd,Joie Lee,Felicia Pearson,Jeni Perillo,Katherine Borowitz,Donna Dixon,Chiz Schultz,Lauren Macklin,Steven Hauck,Stephen McKinley Henderson,Rafael Osorio,Cinqué Lee,Lil Buck,Naté Bova",An anthropologist awakes with a thirst for blood after an assistant stabs him with a cursed dagger.,"Comedy,Drama,Horror",English,1.9K,United States,4.5,Da Sweet Blood of Jesus
"2002,G,1h 12m","Blayne Weaver,Harriet Owen,Corey Burton,Jeff Bennett,Kath Soucie,Andrew McDonough,Roger Rees,Spencer Breslin,Bradley Pierce,Quinn Beswick,Aaron Spann,Dan Castellaneta,Jim Cummings,Rob Paulsen,Clive Revill,Frank Welker,Wally Wingert","In London during World War II, this is the story of Wendy's daughter, Jane, who is kidnapped by Captain Hook and Peter Pan must come to the rescue.","Animation,Adventure,Family","North American Indian,French,English,Russian",22K,"United States,Canada,Australia",5.8,Return to Never Land
"2023,1h 31m","Anna Antoniades,Mia McKenna-Bruce,Lara Peake,Enva Lewis,Eleni Sachini,Samuel Bottomley,Shaun Thomas,Laura Ambler,Elliot Warren,Guy Lewis,Eilidh Loan,Finlay Vane Last,Eric Manaka,Matilda Rowe,Elizabeth Matthews,Daisy Jelley,Konstandina Rousohatzaki,Olivia Brady","Three British teenage girls go on a rites-of-passage holiday - drinking, clubbing and hooking up, in what should be the best summer of their lives.",Drama,English,12K,"United Kingdom,Greece",6.5,How to Have Sex
"TV Series,2003–2007,TV-PG,44m","Mischa Barton,Adam Brody,Peter Gallagher,Kelly Rowan,Ben McKenzie,Rachel Bilson,Melinda Clarke,Tate Donovan,Alan Dale,Autumn Reeser,Chris Carmack,Willa Holland,Michael Cassidy,Michael Nouri,Samaire Armstrong,Cam Gigandet,Jeff Hephner,Olivia Wilde","A troubled youth becomes embroiled in the lives of a close-knit group of people in the wealthy, upper-class neighborhood of Newport Beach, Orange County, California.","Comedy,Drama,Romance",English,96K,United States,7.6,The O.C.
2025,"Zoe Saldana,Michelle Yeoh,Sigourney Weaver,David Thewlis,Sam Worthington,Stephen Lang,Giovanni Ribisi,Jemaine Clement,Edie Falco,Oona Chaplin,Cliff Curtis,Joel David Moore,Jack Champion,Bailey Bass,Jamie Flatters,Britain Dalton,Trinity Jo-Li Bliss,Matt Gerald",Sequel of Avatar: The Way of Water (2022). The plot is unknown.,"Action,Adventure,Fantasy",English,vote inconnu,United States,score inconnu,Avatar 3
"2022,1h 22m","Brooke Markham,VyVy Nguyen,Jimmy Bellinger,Erin Daniels,Skyler Day,Herschel Sparber",Two young women find themselves at an abandoned camp in the woods with a book of magical spells surrounded by classic monsters in this comedic send up of '80s horror films.,"Comedy,Horror",English,223,United States,4.6,Shaky Shivers
"1985,R,1h 35m","Gary Busey,Everett McGill,Corey Haim,Megan Follows,Robin Groves,Leon Russom,Terry O'Quinn,Bill Smitrovich,Joe Wright,Kent Broadhurst,Heather Simmons,James A. Baffico,Rebecca Fleming,Lawrence Tierney,William Newman,Sam Stoneburner,Laurens Moore,Rick Pasotto","In a small town, brutal killings start to plague the close knit community. Marty Coslaw, a paraplegic boy, is convinced the murders are the doings of a werewolf.",Horror,English,31K,"United States,Netherlands Antilles",6.4,Silver Bullet
